date,desc1,desc2,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio,amount,portfolio
12/6/2017,,UNINVESTED CASH,"1,302,827",LATFHY,"564,186",LASDHYM,"1,383,181",NTL,"221,689",LAAMTTF,"207,783",CA,"674,014",NY,"1,982,771",NJ,"1,833,496",LATFINSI,"2,304,847",LASDTF
12/6/2017,,Daily VRDN,"4,900,000",LATFHY,"600,000",LASDHYM,"24,015,000",NTL,"400,000",LAAMTTF,"1,500,000",CA,"7,900,000",NY,,NJ,"115,180,000",LATFINSI,"293,940,000",LASDTF
12/7/2017,Capstock,Inflows/Outflows,"214,293",LATFHY,"252,613",LASDHYM,"542,194",NTL,"53,786",LAAMTTF,"-52,763",CA,"2,587",NY,"2,500",NJ,"4,166,117",LATFINSI,"-232,408",LASDTF
12/7/2017,Call,Cuyahoga Co Hlth - Eliza Jenni,"2,500,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,Call,Cuyahoga Co Hlth - Eliza Jenni,"4,300,000",LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,,LASDTF
12/7/2017,B 3100,IN Muni Pwr,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"-3,535,674",LASDTF
12/7/2017,B 4210,IN Muni Pwr,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-5,001,227",LATFINSI,,LASDTF
12/7/2017,B 4000,IN Muni Pwr,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-4,724,880",LATFINSI,,LASDTF
12/7/2017,B 5000,WA State GO,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,,LATFINSI,"-5,885,150",LASDTF
12/7/2017,B 10395,WA State GO,,LATFHY,,LASDHYM,,NTL,,LAAMTTF,,CA,,NY,,NJ,"-12,831,380",LATFINSI,,LASDTF
